,Word,Frequency
47,The,83
5,A,62
132,And,56
18,To,51
10,In,45
50,Of,44
242,.,39
28,Is,29
41,De,27
224,Your,21
78,With,20
163,This,20
1051,La,18
16,You,18
98,For,17
93,New,16
122,All,15
1071,Que,14
1042,En,14
229,That,14
1039,Y,14
24,#Food,13
3,At,11
309,From,11
248,#Foodblogger,11
249,#Delicious,10
184,Us,10
292,By,10
375,Are,10
246,#Foodtalkindia,10
247,#Foodiesofindia,10
252,#Discover,10
251,#Instafood,10
250,#Yummy,10
58,Have,9
305,Food,8
13,What,8
596,Chicken,8
103,Try,7
313,On,7
9,Restaurant,7
69,Tell,7
297,Has,7
1048,Una,7
690,Los,6
1117,Se,6
96,It,6
1046,Te,6
659,Their,6
1102,Un,6
1187,Su,6
39,El,6
129,Some,6
1078,Con,6
1144,Cada,6
285,Menu,6
398,#Delhi,5
17,Like,5
23,#Foodporn,5
845,Pasta,5
403,Will,5
121,😋,5
233,List,5
1037,Para,5
92,Our,5
44,An,5
546,Order,5
240,Save,5
846,Prices,5
929,Favorite,5
331,As,5
15,Would,5
344,✨,5
146,More,4
340,When:,4
1074,Cocina,4
345,Where:,4
820,Sandwich,4
343,Days,4
144,One,4
112,#Newyork,4
538,Creative,4
1101,Es,4
509,-,4
1086,Las,4
854,Italian,4
156,Out,4
847,Italy,4
54,Only,4
600,Just,4
678,&,4
390,Feast,4
64,Also,4
42,Can,4
238,Go-To,4
1306,Kfc,4
253,#Newintown,4
187,Get,4
283,Offers,4
421,Around,4
260,Cuisine,4
151,Which,4
351,Delhi📍,3
1088,Más,3
170,Ever,3
401,#Flavours,3
1147,Como,3
473,Its,3
1092,Sus,3
2,Ate,3
161,🤷🏽‍♂️,3
495,Collaboration,3
379,Comment,3
1127,Lo,3
1126,Por,3
206,Make,3
1084,Compartimos,3
361,Flavors,3
468,Favourite,3
469,Plant-Based,3
376,Perfect,3
1340,Chole,3
504,Delhi,3
6,Two,3
123,Need,3
677,York,3
301,Chef,3
232,Here’S,3
234,Places,3
635,#Nyc,3
71,Three,3
236,Capital!,3
63,Experience,3
924,#Italianfood,3
1034,Algunos,3
1,We,3
43,Roca,3
907,Or,3
869,U.S.,3
778,Pop-Up,3
256,Into,3
258,World,3
1033,Son,3
75,Dishes,3
414,There,3
223,Starting,3
118,Got,3
263,Restro-Bar,3
274,Classic,3
1049,Lista,3
222,Than,3
1053,Donde,3
395,Serve,2
324,Features,2
396,Best,2
326,Bar,2
284,Diverse,2
397,Spots!,2
286,Authentic,2
1176,Tiene,2
328,Signature,2
329,Cocktails,2
341,12:30Pm,2
282,Soul,2
