InvestorsName,Count
,38
& Others,1
122 West Ventures,1
1Crowd,3
1Crowd (Through Crowd Funding),1
1Crowd (Through Crowdfunding),1
3One4 Capital,6
3One4 Capital Advisors,1
3One4 Capital Advisors Llp,1
500 Start-Ups,1
500 Startups,20
500 Startups & Other Hnis,1
50K Ventures,4
50K Ventures & Others,1
91Maker.Com,1
91Springboard,1
A M Sikander,1
Aakrit Vaish,1
Aarin Capital,6
Aarin Capital & Others,1
Aarin Capital Partners,4
Aarti Group,1
Aaruha Technology Fund,1
Aavishkaar,2
Aavishkaar Venture Management,1
Aavya Ventures,1
Ab Kinnevik,1
Abaran Deep,1
Abhai S. Rao,1
Abhay Singhal,2
Abhijit Avasthi,1
Abhijit Bhandari,1
Abhinav Bindra,1
Abhinav Mathur,1
Abhinav Patodia,1
Abhinav Sinha,1
Abhishek Acharya,1
Abhishek Agarwal,1
Abhishek Goyal,3
Abhishek Gupta,2
Abhishek Jain,1
Abhishekh Goyal,1
Abi-Showatech (India) Ltd,1
Abm Knowledgeware,1
Abraaj Group,1
Abstract Ventures,1
Abu Farhan Azmi,1
Accel,1
Accel India,3
Accel Partner,2
Accel Partners,52
Accel Partners & Existing Investors,1
Accel Partners & Others,2
Accel Partners India,3
Accel Partners Rnt Associates,1
Accel Us,1
Accion,2
Accion Venture Lab,1
Accion Venture Labs,1
Acumen Fund,4
Adag Reliance Private Equity,1
Adam DâAngelo,1
Adi Saravanan,1
Adil Allana,1
Aditya Agarwal,2
Aditya Aggarwal,1
Aditya Dev Sood,1
Aditya Singh,1
Aditya Verma,1
Aditya Vij,1
Adroitent Pvt. Ltd,1
Advantedge Partners,3
Adveq Management,1
Aecal,1
Afsal Salu,2
Agarwal Movers Group,1
Agnus Capital,3
Ah! Ventures,15
Ain Capital Ventures,1
Ajai Chowdhary,1
Ajai Chowdhry,2
Ajay Data,1
Ajay Data & Other Hnis,1
Ajay Lakhotia,1
Ajay Modani,1
Ajay Nanavati,1
Ajay Piramal,1
Ajay Relan,3
Ajay Sarupria,1
Ajeet Khurana & Others,2
Ajeet Khurana Jinesh Shah,1
Ajesh K Murthy,1
Ajit Surana,1
Ajith Nair,2
Ajith Sukumaran,1
Ajmera Group Of Companies,1
Akash Agarwal,1
Akash Bhavsar,1
Akash Garg,1
Akusa Holdings,1
Al Dhaheri Family,1
Alcon Edge Capital,1
Alex Chua,1
Alex Kuruvilla,1
Alexander Bruehl,1
Alfa Capital,1
Alibaba,2
Alibaba Group,1
Alibaba Pictures,1
Allen Blue,1
Alok Bajpai,1
Alok Goel,2
Alok Goel & Others,1
Alok Mittal,6
Alok Mittal & Others,1
Alok Rawat,1
Alok Sharma,2
Aloke Bajpai,1
Alpha Capital,1
Alphard Maritime Group,1
Altimeter Capital,1
Alto Partners,1
Amadeus Capital,1
Amajit Gupta,1
Amanpreet Bajaj,2
Amar Arsikere,1
Amarpreet Sawhney,1
Amaya Capital Llp,1
Amazon,2
Ambarish Gupta,1
Ambarish Ray,1
Ambi Parameswaran,1
Ambiga Dhiraj,1
Ambit Pragma,1
Ameera Shah,3
Amen Dhyllon,1
Amereus Group,1
American Express,1
American Express Ventures,2
Amit Agrawal,1
Amit Banati,1
Amit Banka,1
Amit Choudhary,2
Amit Dey,1
Amit Gupta,9
Amit Jindal,1
Amit Khanna,1
Amit Khanna (Letsventure),1
Amit Kharbanda,1
Amit Nagar,1
Amit Nanavati,1
Amit Patni,2
Amit Rambhia & Others,1
Amit Ranjan,6
Amit Ranjan & Others,1
Amit Rathore,1
Amit Sandill,1
Amit Singhal,1
Amit Sinha,1
Amit Tyagi,1
Amitpal Bhutani,1
Amod Malviya,1
Amrish Kumar,1
Analec,1
Anand Chandrasekaran,13
Anand Chandrasekaran & Others,1
Anand Ladsariya,2
Anand Mahindra,4
Anand Mittal,1
Anand Rajaraman,3
Anand Sankeshwar,2
Anand Singh,1
Anand Vijay,2
Ananda Kallugadde,1
Anandbir Singh,1
Ananth Narayanan,1
Anbu Pandian,2
And Ajai Chowdhry,1
And Amit Bhatiani,1
And Gurpreet Singh,1
And Mas Financial Services Ltd,1
And Sahil Barua,1
And Sanjeev Agrawal,1
Andre Hoffman,1
Aneesh Reddy,6
Aneesh Reddy & Teruhide Sato,1
Aneesh Seth,1
Angelprime,3
Angie Mahtaney,1
Anglian Omega Network,2
Anicut Capital,1
Anil Chopra,1
Anil Gelra,1
Anil Jaggia,1
Anil Jain,1
Anil Jain & Other Hnis,1
Anil Kapoor,1
Anil Matai,1
Anil Menon,1
Anindya Ghose,1
Anirudh Damani,6
Anirudh Rastogi,1
Anirudh Sheth,1
Anish K,1
Anisha Mittal,1
Anita Dongre,1
Anita Gupta,1
Anita Hassanandani,1
Anjani Prasad,1
Ankit Aditya,1
Ankit Bhati,2
Ankit Gupta,1
Ankit Maheshwari,1
Ankit Nagori,3
Ankur Capital,1
Ankur Gupta,1
Ankur Singla,1
Ankur Warikoo,1
Ankush Mehta,1
Ankush Nijhawa,1
Ankush Nijhawan,2
Ankush Saigal,1
Anoop Goyal,1
Anoop Hingorani,1
Anshoo Gaur,1
Anshu Sharma,1
Anshul Jindal,1
Anshuman Das,1
Ant Financial,1
Ant Financial Services (Alipay),1
Anthil Ventures & Others,1
Anthill Scale Ventures,1
Anthill Ventures,1
Anubhav Verma,1
Anuj Golecha,1
Anuj Puri,1
Anuj Sanghi,1
Anuj Srivastava,3
Anupam Mittal,18
Anupam Mittal & Other Marquee Investors,1
Anupam Mittal & Others,1
Anupam Tyagi,1
Anurag Chauhan,1
Anurag Gupta,1
Aparup Sengupta,1
Apis Partners,1
Apoletto,2
Apoletto Managers,1
Apoorv Ranjan Sharma,1
Appliyifi,1
Applyifi,1
Aprameya,1
Aprameya Radhakrishna,11
Aprameya Radhakrishnan,1
Apurva Salapuria,1
Apurva Salarpuria,1
Aqeel Ahmed,2
Aramex Ventures Llc,1
Arathi Krishna,1
Arihant Patni,6
Arjun And Rohan Malhotra,1
Arjun Handa,1
Arjun Malhotra,1
Arjun Mehta,1
Arjun Sharmaa,1
Arkas Industries,1
Armat Group,1
Artha India Ventures,1
Artiman Ventures,1
Arun Chandra Mohan,2
Arun Duggal,1
Arun Khanna,1
Arun Malhotra,1
Arun Patodia,1
Arun Sarin,1
Arun Seth,1
Arun Tadanki,3
Arun Venkatachalam,2
Aruna Ganesh Ram,1
Arvind Jha,1
Ascent Capital,2
Aseem Sood,1
Ash Bhardwaj,1
Asha Jadeja Motwani & Others,1
Ashim Mehra,2
Ashish Agrawal,1
Ashish Chand,1
Ashish Dev Kapur,1
Ashish Dhawan,1
Ashish Goenka & Others,1
Ashish Gupta,6
Ashish Hemrajani,2
Ashish Jhalani,1
Ashish Kashyap,1
Ashish Lakhanpal,1
Ashish Mahajan,1
Ashish Tiwari,1
Ashish Todi,1
Ashish Tulsian,1
Ashneer Grover,1
Ashok Agarwal,1
Ashok Goel (Promoter),1
Ashutosh Lawania,2
Ashvin Chadha,5
Asia Pacific Internet Group,1
Asian Healthcare Fund,1
Ask Pravi,1
Askme,1
Asp Consulting,1
Aspada,2
Aspada Advisors,1
Aspada Investment Advisors,2
Aspada Investments,1
Aspada Ventures,1
Aspire Systems,1
Asset Management (Asia) Ltd,1
Astarc Ventures,4
Astarc Ventures & Others,1
Asuka,1
Asuka Holdings,2
Atul Goel,1
Atul Ingle,1
Atul Jain,1
Atul Jalan,2
Atul Nishar,3
Atul Phadnis,1
Atulya Mittal,1
Augment Ventures,2
August Capital Partners,1
Avalon Ventures,1
Avg Group,1
Avnish Mehra,1
Avtar Monga,1
Axan Venture,1
Axiata Digital,1
Axilor,1
Axilor Partners,1
Axilor Ventures,11
Axis Bank,1
Axis Capital,2
Axis Capital & Others,1
Axon Partners,1
Ayesha Takia Azmi,1
Azmul Haque,1
B Capital Group,1
B M Gupta,1
B S Nagesh,1
Badal Malick,1
Baillie Gifford,1
Balaji Prabhakar,1
Balamurugan Mani,1
Balasubramanian Krishnamurthy,1
Bank To The Future And Funders Club,1
Barkawi Holdings Gmbh,2
Batlivala & Karani Securities,2
Bc Prabhakar,1
Bccl,1
Bedrock Ventures,3
Beenext,16
Beenext Ventures,2
Beenextan Investment Fund,1
Beenos,7
Beenos Asia,1
Beerud Sheth And Ravi Mantha,1
Bennett,3
Bennett Coleman & Co. Ltd,1
Benori Ventures Llp,1
Berggruen Holdings,1
